Fund,Amc,Product,Aum,Returns 1 Yr,Returns 3 Yr,Returns 5 Yr,Returns 3 Months,Asset Class,Classification Name,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Sortino 1 Yr,Sortino 3 Yr,Max Drawdown Perc 1yr,Max Drawdown Duration Days 1yr,Max Drawdown Duration Days 3yr,Max Drawdown Perc 3yr,Max Drawdown Time To Recovery Days 1yr,Max Drawdown Time To Recovery Days 3yr,Expense Ratio,Fund Manager,Inception Date,Pb Ratio,Pe Ratio,Returns Since Inception,Std 1 Yr,Std 3 Yr,Treynor Ratio 1 Yr,Treynor Ratio 3 Yr,Alpha 1 Yr,Alpha 3 Yr,Benchmark Name,Beta 1 Yr,Beta 3 Yr,Scheme Rolling Min 1 Yr,Scheme Rolling Negative 1 Yr,Scheme Rolling Negative 3 Yr,Scheme Rolling Negative 5 Yr,Scheme Rolling Neutral 1 Yr,Scheme Rolling Neutral 3 Yr,Scheme Rolling Neutral 5 Yr,Scheme Rolling Positive 1 Yr,Scheme Rolling Positive 3 Yr,Scheme Rolling Positive 5 Yr
Aditya Birla Sun Life (ABSL) - Innovation,Aditya Birla Sun Life AMC Ltd. PMS,PMS,151.48,-0.9,18.2,21.4,-0.3,Equity,Equity: Multi Cap,-0.3,0.91,-0.58,1.54,-17.16,117,193,-19.04,80,,,Salvin Shah,24-Apr-18,5.48,36.09,18,17.16,13.35,-4.72,13.44,-5.78,2.82,S&P BSE 500 Total Return Index,1.1,0.9,-19.39,7.39,0,0,3.9,0,0,88.71,100,100
Carnelian Capital - Compounder Strategy,Carnelian Asset Management & Advisors Private Limited,PMS,1043,14.8,25.44,24.78,6.85,Equity,Equity: Multi Cap,0.48,1.14,0.7,1.91,-19.77,60,121,-19.83,122,122,,Manoj Bahety,15-May-19,4.5,28.7,20.52,21.78,16.38,7.14,17.07,9.68,7.4,S&P BSE 500 Total Return Index,1.46,1.09,-9.01,15.4,0,0,3.13,0,0,81.47,100,100
Emkay Investments - Emkay's 12,Emkay Investments,PMS,,27.3,12.7,,-0.2,Equity,Equity: Large Cap,1.46,0.37,5.05,0.88,,,,,,,,Kashyap Jhaveri,1-Aug-19,6.04,35.08,14,11.77,13.32,16.77,5.09,-2.48,-2.91,NIFTY 50 Total Return Index,1.02,0.97,-6.54,14.05,0,,11.45,0,,74.5,100,
Motilal Oswal - Mid to Mega strategy,Motilal Oswal Asset Management,PMS,1992.7,-0.92,25.34,23.15,0.54,Equity,Equity: Mid & Small Cap,-0.17,1.02,-0.26,1.39,-24.33,87,87,-24.33,,,,Dhaval Mehta,24-Dec-19,8.79,64.38,24.11,24.29,18.55,-2.86,18.21,-4.74,8.18,S&P BSE 500 Total Return Index,1.4,1.04,-24.49,23,0,0,1.13,0,0,75.87,100,100
MRG Capital - Wealth Maximizer,MRG Capital,PMS,14.98,5.45,19.7,18.09,2.4,Equity,Equity: Multi Cap,0.02,1.17,0.03,2.07,-11.81,112,112,-11.81,59,59,,Manu Rishi Guptha,17-May-19,4.28,39.36,13.4,11.08,11.29,0.31,18.2,-1.63,7.3,NIFTY 50 Total Return Index,0.8,0.72,-25.8,20.9,0,0,1.65,0,0,77.44,100,100
Alder Capital - B2C Growth,Alder Capital,PMS,38.65,13.01,4.99,7.54,4.67,Equity,Equity: Multi Cap,0.44,-0.05,1.08,-0.1,,,,,,,,"Hemant Patel, Rakhi Prasad",5-Oct-15,5.24,41.05,12.4,14.03,15.64,7.01,-0.98,0.45,-11.73,S&P BSE 500 Total Return Index,0.89,0.86,-23.66,32.86,4.78,0,2.91,1.11,0,64.23,94.11,100
Master Trust India Growth Strategy,Master Portfolio Services Ltd,PMS,388.89,5.65,19.85,27.48,-1.58,Equity,Equity: Mid Cap,0.1,0.77,0.15,1.27,-20.86,82,168,-23.77,87,99,,Investment Committee,22-Oct-11,,,25.27,23.25,17.43,1.67,12.04,1.62,1.91,S&P BSE 500 Total Return Index,1.4,1.11,-37.22,17.59,4.86,0,3.87,1.22,0,78.55,93.92,100
Upside AI - Top 250,Upside AI,PMS,3,-0.12,,,1.95,Equity,Equity: Multi Cap,-0.18,0.57,-0.48,0.57,,,,,,,,Kanika Agarrwal,31-Dec-19,0,0,16.19,16.17,25.65,,,1.27,-3.55,NIFTY Smallcap 250 Index,0.7,0.75,-6.44,12.7,0,,4.23,0,,83.06,100,
MASK Prime Picks,Mirae Asset Sharekhan Limited,PMS,351.06,-9.36,15.02,16.98,-5.28,Equity,Equity: Multi Cap,-0.88,0.68,-1.27,1.03,-18.12,149,152,-19.05,,,,"Gaurav Dua, Binod Modi",25-Jun-18,2.8,18.5,11.46,16.27,13.72,-13.92,9.69,-3.73,-0.45,S&P BSE 500 Total Return Index,1.03,0.97,-23.88,27.73,0,0,4.37,0,0,67.9,100,100
Marcellus - Kings of Capital,Marcellus Investment Managers,PMS,202.66,8.88,11.77,11.62,1.29,Equity,Equity: Large Cap,0.35,0.53,0.77,1.19,-8.48,33,72,-32.24,70,65,,Tej Shah,28-Jul-20,,35,11.33,9.29,11.78,5.03,7.39,1.75,-0.61,NIFTY 50 Total Return Index,0.65,0.84,-23.69,26.65,0,0,2.06,3.99,0,71.29,96.01,100
Hem Securities - Dynamic Research and Emerging Asset,Hem Securities Ltd,PMS,170.97,0.87,21.45,25.12,0.11,Equity,Equity: Multi Cap,-0.08,0.85,-0.12,1.16,-24.93,77,77,-24.93,,,,Mohit Nigam,4-Mar-20,,,23.72,24.26,18.24,-1.35,13.18,-2.77,3.39,S&P BSE 500 Total Return Index,1.49,1.18,-7.5,7.35,0,0,3.41,0,0,89.24,100,100
Centrum PMS - Good to Great,Centrum PMS,PMS,111.8,-8.12,13,19.47,-0.67,Equity,Equity: Mid Cap,-0.59,0.44,-0.81,0.79,-24.23,76,138,-25.77,,,,Abul Fateh,4-Jun-19,4.3,36.74,18.9,20.62,18.63,-9.77,7.86,-12.72,-2.59,S&P BSE 500 Total Return Index,1.24,1.05,-18.04,19.98,0,0,3.74,0,0,76.28,100,100
Centrum PMS - Micro,Centrum PMS,PMS,13.47,-11.48,18.08,26.68,-2.94,Equity,Equity: Small Cap,-0.6,0.64,-0.67,0.86,-29.81,76,76,-29.81,,,,Abul Fateh,19-Jul-16,3.7,45.34,16.52,24.83,20.19,-10.27,13.48,-15.55,3.06,S&P BSE 500 Total Return Index,1.44,0.96,-31.72,25.11,7.1,0,1.85,1.96,0,73.04,90.94,100
Centrum PMS - Multibagger,Centrum PMS,PMS,2.77,30.15,13.4,27.88,-3.3,Equity,Equity: Mid Cap,1.23,0.4,4.38,0.85,,,,,,,,Abul Fateh,5-Mar-12,5.11,43.56,19.95,16.99,17.92,21.02,7.19,12.59,-1.11,S&P BSE 500 Total Return Index,1,1,-29.46,24.19,2.56,0.49,3.15,0.17,0.31,72.66,97.27,99.2
Centrum PMS - Flexi Cap,Centrum PMS,PMS,40.94,8.6,16.73,20.3,5.99,Equity,Equity: Flexi Cap,0.24,0.71,0.43,1.3,-14.55,69,142,-20.5,86,,,Abul Fateh,27-Jun-11,3.85,29.54,13.13,14.71,15.64,3.76,11.01,3.05,0.7,S&P BSE 500 Total Return Index,0.94,1.01,-29.46,23.79,5.81,1.81,4.74,0.36,0.61,71.47,93.83,97.57
Asit C Mehta - Ace Ten Trillion Opportunities,Asit C Mehta Investment Interrmediates Ltd,PMS,9.59,0.41,31.12,29.88,0.63,Equity,Equity: Mid Cap,-0.15,1.05,-0.24,2.46,-22.19,82,231,-27.69,136,,,Prathmesh Agrawal,29-Dec-17,3.23,45.56,18.85,20.88,23.26,-2.38,18.02,-3.89,10.41,S&P BSE 500 Total Return Index,1.34,1.35,-28.5,24.47,0,0,2.92,0,0,72.61,100,100
Asit C Mehta - Ace Multicap,Asit C Mehta Investment Interrmediates Ltd,PMS,142.07,2.35,35.56,32.78,2.17,Equity,Equity: Flexi Cap,-0.11,1.31,-0.16,3.24,-19.61,84,233,-25.83,,,,Prathmesh Agrawal ,23-Aug-18,3.4,27.05,20.12,17.06,21,-1.74,22.3,-2.5,14.79,S&P BSE 500 Total Return Index,1.11,1.23,-40.71,25.27,0,0,2.48,0,0,72.26,100,100
Asit C Mehta - Ace Regular Income,Asit C Mehta Investment Interrmediates Ltd,PMS,17.97,8.49,31.41,25.35,4.01,Multi Asset,Multi Asset,-0.18,1.28,-0.18,2.14,-15.48,92,241,-17.76,126,,,Prathmesh Agrawal,4-Oct-18,2.54,21.96,17.6,16.03,16.8,-1.76,12.97,-6.61,11.53,NSE Multi Asset Index 2,1.65,1.65,-33.78,17.7,0,0,6.44,0,0,75.86,100,100
Avestha - Growth,Avestha Fund Management,PMS,1447.38,5.61,19.96,27.84,-3.25,Equity,Equity: Multi Cap,0.1,0.77,0.18,1.34,-17.13,29,121,-18.38,92,92,,Farokh Pandole,1-Nov-17,,,17.31,23.7,18.66,1.66,14.04,1.67,3.82,S&P BSE 500 Total Return Index,1.45,1.02,-21.68,15.45,0,0,1.25,0,0,83.3,100,100
Money Life - Mas Growth,Moneylife Advisory Services Pvt Ltd,PMS,151.77,-4.23,20.75,19.65,2.14,Equity,Equity: Multi Cap,-0.36,0.73,-0.38,1.05,,,,,,,,Debashis Basu,18-Dec-19,,,24.49,21.64,19.4,-6.69,14.87,-10.4,6.44,NIFTY 50 Total Return Index,1.15,0.95,,,,,,,,,,
Money Life - Mas Prime,Moneylife Advisory Services Pvt Ltd,PMS,112.43,-0.02,21.44,17.79,-0.2,Equity,Equity: Multi Cap,-0.24,0.99,-0.34,1.86,,,,,,,,Debashis Basu,2-Dec-19,,,17.23,17.74,17.27,-3.6,20.09,-6.94,10.21,NIFTY 50 Total Return Index,1.17,0.85,,,,,,,,,,
NAFA - Emerging Bluechip ,Nafa Asset Managers Pvt Ltd,PMS,447.1,-2.9,19.95,28.88,-1.46,Equity,Equity: Mid Cap,-0.31,0.83,-0.43,1.37,-23.03,117,196,-25.34,,,,N Balaji Vaidyanath,1-Mar-16,3.61,34.23,16.45,21.16,18.12,-5.55,14.25,-7.16,4.14,S&P BSE 500 Total Return Index,1.18,1.05,-31.43,25.29,15.35,0,2.68,0.78,0,72.02,83.87,100
NAFA - Small Cap,Nafa Asset Managers Pvt Ltd,PMS,49.03,-3.74,13.98,23.99,-2.29,Equity,Equity: Small Cap,-0.46,0.59,-0.63,1.04,-20.27,117,196,-22.37,,,,N Balaji Vaidyanath,11-Mar-19,2.79,28.34,18.74,17.62,16.04,-7.7,9.69,-8.61,-0.6,S&P BSE 500 Total Return Index,1.05,0.98,-32.83,13,0,0,2.72,0,0,84.29,100,100
SageOne - Smallcap Portfolio,SageOne Investment Advisors,PMS,1130.97,-4.6,13.1,22.8,-3.9,Equity,Equity: Small Cap,-0.29,0.44,-0.44,0.75,-26.17,96,166,-26.34,,,,Samit Vartak,1-Apr-19,,28.7,22.9,25.68,19.35,-5.35,7.72,-8.14,-2.87,S&P BSE 500 Total Return Index,1.39,1.11,-18,21.07,0,0,3.92,0,0,75.01,100,100
Sameeksha - Equity Fund,Sameeksha Capital Pvt Ltd,PMS,1177.59,5.61,27.11,27.8,-0.13,Equity,Equity: Multi Cap,0.04,1.52,0.09,3.89,-9.28,60,152,-11.04,92,92,,Bhavin Shah,1-Apr-16,5.3,24,22.16,12.78,12.76,0.69,25.36,0.15,11.48,S&P BSE 500 Total Return Index,0.82,0.76,-16.22,17.44,1.25,0,1.95,0,0,80.61,98.75,100
Sanctum Wealth - Indian Olympians,Sanctum Wealth Pvt Ltd,PMS,70.33,8.55,10.8,14.28,4.64,Equity,Equity: Large Cap,0.25,0.44,0.4,0.74,-12.97,79,156,-17.08,72,233,,Hemang Kapasi,16-Sep-16,,,11.72,13.82,12.23,3.05,5.37,0.79,-2.74,NIFTY 50 Total Return Index,1.13,1,-20.47,9.27,0,0,6.54,0,0,84.2,100,100
Sanctum Wealth - Indian Titans,Sanctum Wealth Pvt Ltd,PMS,179.59,3.11,11.35,17.33,2.34,Equity,Equity: Multi Cap,-0.1,0.45,-0.18,0.78,-16.26,76,156,-19.01,116,,,Hemang Kapasi,18-Nov-16,,,13.66,15.69,13.16,-1.46,6.42,-2.11,-3.61,S&P BSE 500 Total Return Index,1.07,0.93,-16.47,21.24,0.28,0,4.06,0.46,0,74.7,99.26,100
Capitalmind - Market,Capitalmind,PMS,231.93,10.2,19.52,21.53,14.67,Equity,Equity: Large Cap,0.32,0.9,0.99,1.83,-15.48,121,121,-15.48,,,,Deepak Shenoy,1-Mar-19,,,16.57,16.43,14.72,4.9,12.64,-0.82,3.22,NIFTY 50 Total Return Index,1.06,1.04,-13.78,15.79,0,0,4.79,0,0,79.42,100,100
Capitalmind - Adaptive Momentum,Capitalmind,PMS,579.49,-13.96,11.09,18.27,-0.54,Equity,Equity: Multi Cap,-1.02,0.35,-1.16,0.57,-17.69,29,152,-21.28,,,,Anoop Vijaykumar,1-Mar-19,,,18.63,18.53,19.08,-29.03,7.27,-20.45,-0.77,NIFTY 50 Total Return Index,0.65,0.92,-20.55,30.02,0,0,1.98,0,0,68,100,100
Roha Asset Managers - Emerging Champion,Roha Asset Managers LLP,PMS,374.33,-4.95,24.37,33.08,-4.18,Equity,Equity: Mid & Small Cap,-0.32,0.9,-0.4,1.27,,,,,,,,DALJEET SINGH KOHLI,30-Sep-20,,,31.88,24.6,20.54,-5.48,16.53,-8.55,6.94,S&P BSE 500 Total Return Index,1.43,1.12,,,,,,,,,,
Helios - India Rising PMS,Helios Capital Management (I) LLP,PMS,1606.74,10.75,20.57,21.29,7.12,Equity,Equity: Multi Cap,0.36,1.04,0.38,1.35,-18.65,74,74,-18.65,196,196,,Dharmendra Grover,16-Mar-20,,,22.94,16.27,13.5,5.76,15.01,5.34,4.42,S&P BSE 500 Total Return Index,1.02,0.94,-8.83,13.07,0,0,3.78,0,0,83.15,100,100
Care PMS - Growth Plus Value Strategy,Care Portfolio Managers Pvt Ltd,PMS,900.9,-5.05,19.49,29.6,1.47,Equity,Equity: Mid & Small Cap,-0.47,0.73,-0.75,1.43,-20.85,91,121,-24.29,,,,"Jayant Mamania, Arpit Shah, Amit Doshi",19-Jul-11,3.7,22.1,21,19.18,19.01,-7.26,12.8,-9.72,2.7,S&P BSE 500 Total Return Index,1.25,1.09,-43.01,22.89,16.97,5.42,2.51,0,0,74.6,83.03,94.58
Care PMS - Large & Midcap Strategy,Care Portfolio Managers Pvt Ltd,PMS,50.39,8.79,27.06,24.08,4.08,Equity,Equity: Large & Mid Cap,0.25,1.25,0.36,2.04,-11.99,60,121,-18.72,92,245,,"Jayant Mamania, Arpit Shah, Amit Doshi",3-Jul-20,5.7,26.5,23.6,15.2,15.67,3.84,18.28,3.33,8.57,S&P BSE 500 Total Return Index,1,1.08,-7.71,13.59,0,0,5.82,0,0,80.59,100,100
TCG AMC - $5 Trillion Fund,TCG Advisory Service Pvt Ltd,PMS,0,32.4,0,0,2.38,Equity,Equity: Multi Cap,,,,,,,,,,,,Chakri Lokapriya,1-Jan-20,0,21.1,37.78,,,,,,,NIFTY 500 Index,,,,,,,,,,,,
TCG AMC - RAF Fund,TCG Advisory Service Pvt Ltd,PMS,1.54,60.94,18.94,,8.6,Equity,Equity: Multi Cap,2.76,0.77,5.77,1.35,,,,,,,,Chakri Lokapriya,5-Jan-21,,,20.47,15.55,15.43,39.67,11.93,11.85,-0.45,S&P BSE 500 Total Return Index,1.06,0.99,-14.44,38.61,0,,2.51,0,,58.88,100,
Agreya Momentum,Agreya Capital Advisors LLP,PMS,,-1.43,15.02,17.01,3.2,Equity,Equity: Large Cap,-0.54,0.68,-0.95,1.31,,,,,,,,Arjun Narsipur,31-Aug-18,,,12.81,11.92,14.11,-7.68,10.01,-8.38,1.82,NIFTY 50 Total Return Index,0.84,0.96,-17.24,26.42,0,,1.81,0,,71.76,100,
Agreya Total Return,Agreya Capital Advisors LLP,PMS,,-3.78,15.16,22.62,6.73,Equity,Equity: Multi Cap,-0.27,0.58,-0.3,0.77,,,,,,,,Shailendra Agarwal,14-Sep-18,,,20.68,24.34,19.64,-4.3,10.08,-7.41,-0.27,S&P BSE 500 Total Return Index,1.54,1.14,-18.48,12.24,0,,3.67,0,,84.09,100,
MOAT - Special Opportunities Fund,MOAT Financial Services,PMS,13.71,-6.04,10.87,,-1.1,Equity,Equity: Multi Cap,-0.5,0.38,-0.72,0.6,-21.15,82,155,-23.69,,,,"Sudheesh M, Ramakrishnan TB",5-Nov-20,,,16.22,19.86,16.16,-7.52,5.68,-10.68,-4.98,S&P BSE 500 Total Return Index,1.33,1.08,-12.9,9.95,0,,4.8,0,,85.24,100,
Morningstar - Active Aggressive Plus Portfolio,Morning Star Investment Advisors India Pvt Ltd,PMS,7.22,-0.22,13.54,,-2.17,Hybrid,Multi Asset,,,,,,,,,,,,"Dhaval Kapadia, Chintan Mehta",22-Apr-19,0,0,12.11,,,,,,,Active Aggressive plus Composite,,,,,,,,,,,,
JM Financial - Focus,JM Financial Services,PMS,355.76,4.5,16.85,16.08,1.23,Equity,Equity: Multi Cap,0.01,0.77,0.02,1.06,-17.81,64,152,-20.24,201,,,Rakesh Parekh,15-Oct-12,,,15.82,17.83,14.76,0.24,11.69,-0.31,1.34,S&P BSE 500 Total Return Index,1.1,0.97,-6.51,46.74,,,25,,,28.26,,
JM Financial - Growth & Value,JM Financial Services,PMS,99.43,5.62,16.14,15.6,1.31,Equity,Equity: Large Cap,0.07,0.72,0.08,0.96,-16.95,65,158,-20.69,195,,,Rakesh Parekh,4-Mar-05,,,13.95,16.93,14.93,1.09,11.04,-1.34,2.83,NIFTY 50 Total Return Index,1.07,0.97,-6.97,50,,,17.39,,,32.61,,
JM Financial - India Resurgent Portfolio Series III,JM Financial Services,PMS,18.2,7.81,22.96,27.56,7.38,Equity,Equity: Flexi Cap,0.19,1.05,0.27,1.84,-16.74,102,196,-20.05,154,162,,Amish Kanani,4-Mar-15,,,13.86,18.56,15.75,3.42,17.08,2.97,6.56,S&P BSE 500 Total Return Index,1.02,0.97,-1.8,8.7,,,25,,,66.3,,
Prosperity - Discovery Fund,Prosperity Wealth Management Pvt Ltd,PMS,113.73,-6.25,19.24,,0.19,Equity,Equity: Multi Cap,-0.39,0.75,-0.44,0.97,-27.94,85,161,-28.17,,,,Vasudev Gupta,7-Dec-20,4.84,27.4,20.07,23.87,18.31,-6.17,12.31,-10.09,2.23,S&P BSE 500 Total Return Index,1.51,1.12,-15.4,38.46,0,,2.32,0,,59.23,100,
Abakkus - Emerging Opportunities,Abakkus Asset Manager Private Limited,PMS,5769.81,-2.58,26.18,32.04,0.95,Equity,Equity: Mid & Small Cap,-0.31,1.12,-0.43,1.67,-22.98,82,82,-22.98,,,,"Sunil Singhania, Aman Chowhan",26-Aug-20,3.07,25.4,30.25,20.2,17.3,-4.85,19.86,-6.93,9.3,S&P BSE 500 Total Return Index,1.29,0.97,-12.65,19.7,0,0,3.08,0,0,77.23,100,100
Renaissance - Opportunities Portfolio,Renaissance Investment Managers Pvt Ltd,PMS,626.46,0.91,15.37,23.55,1.12,Equity,Equity: Large Cap,-0.22,0.78,-0.34,1.32,-15.44,75,75,-15.44,,,,Pankaj Murarka,1-Jan-18,3.47,26.88,13.03,14.16,12.35,-2.86,10.69,-5.66,2.33,NIFTY 50 Total Return Index,1.09,0.9,-39.92,16.83,0,0,1.72,0,0,81.45,100,100
InCred Capital - Healthcare PMS,InCred Capital Investment Advisors And Managers Pvt Ltd,PMS,477.11,19.19,32.5,,2.1,Equity,Thematic,0.68,1.45,1.66,3.36,-17.36,90,90,-17.36,126,126,,Aditya Khemka,15-Feb-21,6.09,55.89,22.16,20.34,16.78,17.45,35.15,13.5,17.19,S&P BSE 500 Total Return Index,0.8,0.69,-22.8,25.17,0,,2.07,0,,72.77,100,
InCred Capital - Multicap PMS,InCred Capital Investment Advisors And Managers Pvt Ltd,PMS,327.14,0.05,26.6,,6.09,Equity,Equity: Multi Cap,-0.17,0.98,-0.22,1.75,-24.19,97,97,-24.19,,,,Aditya Sood,18-Feb-21,5.01,47.32,18.27,21.12,20.87,-2.61,17.53,-4.2,8.39,S&P BSE 500 Total Return Index,1.34,1.16,-13.45,25.15,0,,4.96,0,,69.9,100,
Aequitas - India Opportunities Product,Aequitas Investment Consultancy Private Limited,PMS,3963.08,30.21,44.8,43.47,15.82,Equity,Equity: Small Cap,2.14,2.24,13.5,6.81,-8.66,9,35,-13.12,,41,,Siddhartha Bhaiya,1-Feb-13,2.36,19.29,32.78,10.02,14.66,73.85,67.05,20.81,28.87,NIFTY 50 Total Return Index,0.29,0.49,-57.27,17.08,12.47,0,0.63,0.06,0,82.29,87.48,100
Green Lantern -  Growth Fund,Green Lantern Capital LLP,PMS,1216.69,0.46,40.65,50.07,-0.07,Equity,Equity: Mid & Small Cap,-0.44,1.74,-0.66,5.47,-11.51,79,212,-13.67,101,,,"Pradeep Gokhale, Abhishek Bhardwaj",8-Dec-17,,,23.73,10.64,17.48,-6.74,33.72,-5.03,21.08,S&P BSE 500 Total Return Index,0.69,0.9,-40.92,29.25,3.02,0,2.14,0.11,0,68.61,96.87,100
Composite India - Emerging Star Fund,Composite Investments Pvt Ltd,PMS,112.4,-4.36,19.29,23.99,1.39,Equity,Equity: Mid & Small Cap,-0.4,0.83,-0.46,1.19,-21.46,152,173,-22.2,,,,Vinod Jayaram,6-May-19,4.79,43.73,20.44,19.92,17.31,-6.19,14.88,-8.56,4.43,S&P BSE 500 Total Return Index,1.28,0.97,-13,15.7,0,0,2.54,0,0,81.75,100,100
Composite India - GARP Fund,Composite Investments Pvt Ltd,PMS,98.73,-3.9,17.02,18.42,3.32,Equity,Equity: Multi Cap,-0.36,0.66,-0.63,1.18,-21.31,152,173,-22.61,,,,"Composite Investments Private Limited, Kedar B",22-Apr-19,3.84,30.87,18.76,20.6,17.97,-7.29,12.31,-7.9,1.94,S&P BSE 500 Total Return Index,1.01,0.97,-14.6,22.03,0,0,3.02,0,0,74.95,100,100
Alpha Alternatives - Systematic Equity,Alpha Alternatives Fund Advisors LLP,PMS,145.54,-11.28,17.56,21.77,-7.37,Equity,Equity: Multi Cap,-0.78,0.72,-1.28,1.14,,,,,,,,Vineet Sachdeva,1-Jul-21,,,22.28,19.87,15.91,-12.7,11.77,-16.08,1.43,S&P BSE 500 Total Return Index,1.22,0.98,,,,,,,,,,
Electrum - Laureate Portfolio,Electrum Portfolio Managers Private Limited,PMS,529.33,-7.62,22.69,,0.1,Equity,Equity: Mid & Small Cap,-0.44,0.9,-0.53,1.22,-30.89,113,113,-30.89,,,,Romil Jain,23-Nov-20,4.71,44.26,31.52,24.39,20.71,-7.96,18.57,-11.49,8.29,S&P BSE 500 Total Return Index,1.36,1,-11.84,11.4,0,,1.46,0,,87.14,100,
Magadh - Future Stars,Magadh Capital Advisors LLP,PMS,65.7,3.21,30.97,,1.17,Equity,Equity: Mid & Small Cap,-0.07,1.34,-0.1,2.32,-18.76,63,63,-18.76,,,,Vipul Prasad,2-Aug-21,3.84,24.47,22.44,17.09,17.17,-1.26,21.93,-1.6,12.21,S&P BSE 500 Total Return Index,0.91,1.05,-11.59,12.89,0,,5.05,0,,82.06,100,
Magadh - Value for Growth,Magadh Capital Advisors LLP,PMS,27.85,3.7,22.43,,1.64,Equity,Equity: Multi Cap,-0.09,1.17,-0.15,2.14,-13.03,74,155,-15.4,,,,Vipul Prasad,2-Aug-21,4.28,26.39,15.79,13.44,13.29,-1.39,17.69,-1.59,6.51,S&P BSE 500 Total Return Index,0.83,0.88,-12.18,16.01,0,,5.81,0,,78.18,100,
PRP - Indian Exports Momentum Portfolio,PRP Professional Edge Pvt Ltd.,PMS,0.64,-8.04,,,-0.57,Equity,Equity: Multi Cap,-0.57,,-2.04,,,,,,,,,Jyoti Prakash,28-Oct-21,4.63,27.61,-2.04,18.68,,,,-12.78,,NIFTY 50 Index,1.13,,-8.04,46.15,,,32.31,,,21.54,,
ATLAS - Multicap PMS Fund,Atlas Integrated Finance Limited,PMS,1.72,3.89,9.99,,-0.03,Equity,Equity: Multi Cap,-0.11,0.34,-0.41,0.88,-11.08,152,202,-13.36,38,50,,Nilesh Shah,5-Oct-21,3.3,34.31,5.88,11.21,10.44,-1.87,5.04,-1.61,-3.7,S&P BSE 500 Total Return Index,0.67,0.7,-8.07,21.37,0,,7.12,0,,71.5,100,
Profusion - Income Enhancer,Profusion Investment Advisors LLP,PMS,6.03,5.3,8.95,,1.03,Debt,Debt,-0.48,1.41,,5.5,-81.36,1,1,-81.36,,,,Satyan Wadhwa,1-May-21,,,8.79,1.12,2.06,-4.45,29.14,-0.68,2.69,Crisil Composite Bond Fund Index,0.12,0.1,4.36,0,0,,0,0,,100,100,
Anand Rathi Advisors - Decennium Opportunity,Anand Rathi Advisors,PMS,205.3,-7.56,12.81,,-1.94,Equity,Equity: Multi Cap,-0.42,0.43,-0.54,0.54,-25.99,82,155,-27.21,,,,Mayur Shah,12-Nov-21,5.73,46.84,11.2,25.14,18.85,-8.07,7.4,-11.19,-3.16,S&P BSE 500 Total Return Index,1.3,1.09,-16.03,26.64,0,,3.32,0,,70.05,100,
AXIS SECURITIES PURE GROWTH,Axis Securities Ltd,PMS,1007.02,3.69,18.86,,-0.95,Equity,Equity: Multi Cap,-0.07,0.99,-0.1,1.5,-15.25,74,155,-15.75,138,,,"Naveen Kulkarni , Nishit Master",13-Jan-21,4.58,25.1,18.64,14.55,12.44,-1.16,15.14,-1.56,3.92,S&P BSE 500 Total Return Index,0.93,0.81,-4.44,2.23,0,,2.81,0,,94.96,100,
Bonanza - Edge,Bonanza Portfolio Ltd,PMS,99.13,-4.66,24.29,34.37,1.78,Equity,Equity: Multi Cap,-0.34,1.03,-0.53,1.76,-24.29,85,179,-26.25,,,,Achin Goel,13-Aug-15,3.65,40.57,19.82,23.22,20.05,-4.75,19.21,-11.72,11.92,NIFTY 50 Total Return Index,1.65,1.07,-34.98,27.68,21.67,0,2.55,0.61,0,69.77,77.72,100
Marcellus - Rising Giants,Marcellus Investment Managers,PMS,147.94,-0.05,5.79,,-3.27,Equity,Equity: Mid Cap,-0.34,0.07,-0.58,0.14,-13.39,79,146,-17.95,117,163,,Ashvin Shetty - CFA,27-Dec-21,,32,0.15,13.99,14.3,-6.03,1.2,-5.19,-7.51,S&P BSE 500 Total Return Index,0.79,0.82,-23.93,25.19,10,,4.42,6.13,,70.38,83.87,
AlfAccurate Advisors - AAA Budding Beasts,AlfAccurate Advisors,PMS,657.75,3.74,25.7,,1.31,Equity,Equity: Mid & Small Cap,0.01,1.14,0.01,1.59,-22.18,82,160,-23.79,136,,,Rajesh Kothari,1-Jan-21,7.9,47.6,26.83,20.78,16.5,0.13,18.5,-0.49,8.34,S&P BSE 500 Total Return Index,1.27,1.02,-5,2.21,0,,2.64,0,,95.14,100,
Agreya Multi-Asset Enhancer,Agreya Capital Advisors LLP,PMS,,12.81,10.71,16.48,4.11,Multi Asset,Multi Asset,1,1.09,4.23,5.96,,,,,,,,"Arjun Narsipur, Shailendra Agarwal",4-Jun-19,,,14.1,6.43,5.43,8.38,13.94,1.92,2.45,NSE Multi Asset Index 1,0.77,0.42,-0.78,0,0,,1.36,0,,98.64,100,
Agreya Total Return Enhancer,Agreya Capital Advisors LLP,PMS,,1.31,17,,7.5,Equity,Equity: Multi Cap,-0.08,0.7,-0.1,1,,,,,,,,"Arjun Narsipur, Shailendra Agarwal",22-Feb-21,,,17.08,22.99,18.11,-1.22,10.94,-2.6,0.73,S&P BSE 500 Total Return Index,1.5,1.15,-8.53,17.06,,,12.7,,,70.24,,
